Ntime;time;Close Price;Open Price;High Price;Low Price;Volume;MACD;CCI;ATR;BOLL;EMA20;MA10;MTM6;MA5;MTM12;ROC;SMI;WVAD;US Dollar Index;Federal Fund Rate
20080701;733590;1284.91;1276.69;1285.31;1260.68;584629;-25.5455947984392;-127.422348468396;24.6299999999999;1347.15423076923;1327.45348166867;1307.927;-33.0899999999999;1289.682;-75.1199999999999;-5.52340757189179;-0.0395422369394756;-37722454.8385589;72.34;2.11
20080702;733591;1261.52;1285.82;1292.17;1261.51;527609;-27.571986214175;-115.86492941658;30.6600000000001;1342.39153846154;1321.17410246213;1300.298;-52.77;1277.592;-98.6200000000001;-7.2507241901569;-0.0605512239077172;-52042778.8108477;71.99;1.95
20080703;733592;1262.9;1262.96;1271.48;1252.01;324759;-28.7353186770542;-115.17152722081;19.47;1337.47076923077;1315.62418794192;1292.305;-59.0699999999999;1273.542;-88.03;-6.51625176730104;-0.0417548731723232;-55561481.9413851;72.73;1.92
20080707;733596;1252.31;1262.9;1273.95;1240.68;526542;-30.1640797955263;-111.302302134095;33.27;1331.85730769231;1309.59426528079;1285.743;-26.0700000000002;1268.328;-85.5;-6.74098731782876;-0.0498406676783005;-53525518.2612781;72.71;1.99
20080708;733597;1273.7;1251.84;1274.17;1242.84;603411;-29.233404548796;-82.7327076010592;31.3300000000002;1326.985;1306.17576382548;1281.313;-6.29999999999995;1267.068;-69.1299999999999;-3.35602042597103;-0.030883594944799;-39091131.6497784;72.96;1.97
20080709;733598;1244.69;1273.38;1277.36;1244.57;518100;-30.4852868535079;-92.611611916387;32.79;1321.56269230769;1300.31997679448;1274.353;-40.22;1259.024;-73.24;-5.56221547799696;-0.0584582100955392;-51031432.7140827;72.59;1.99
20080710;733599;1253.39;1245.25;1257.65;1236.76;584043;-30.4246785526013;-102.209657738635;20.8900000000001;1316.78346153846;1295.850455195;1267.495;-8.12999999999988;1257.398;-64.6099999999999;-4.63368054234605;-0.0231929236644196;-56621807.0096116;72.49;2.01
20080711;733600;1239.49;1248.66;1257.27;1225.35;674220;-31.1393053418899;-117.84498038034;31.9200000000001;1311.48692307692;1290.48279279548;1263.129;-23.4100000000001;1252.716;-74.8;-6.23917335491728;-0.0304213144761339;-47750912.937686;71.91;1.97
20080714;733603;1228.3;1241.61;1253.5;1225.01;543486;-32.23698381963;-120.28077778154;28.49;1304.72730769231;1284.56062205305;1258.121;-34.6000000000001;1247.914;-93.6700000000001;-4.27463663640261;-0.040390625;-53946772.7203408;71.96;2.06
20080715;733604;1214.91;1226.83;1234.35;1200.44;736364;-33.7977634381489;-161.316312424399;33.9099999999999;1299.12076923077;1277.92722947657;1251.612;-37.3999999999999;1236.156;-68.24;-4.96487742298847;-0.0544785237876583;-59422582.599492;71.7;2.16
20080716;733605;1245.36;1214.65;1245.52;1211.39;673863.04;-32.20637694624;-93.4526587421415;34.1299999999999;1294.64384615385;1274.82558857404;1247.657;-28.3400000000001;1236.29;-33.0200000000002;-2.70625000000001;-0.0128099435601497;-34199474.2548038;72.06;1.95
20080717;733606;1260.32;1246.31;1262.31;1241.49;736520.96;-29.3991496155852;-3.99430467806916;20.8199999999999;1290.87;1273.44410394794;1247.537;15.6299999999999;1237.676;-19.6800000000001;-1.91375271419789;-0.0020429170955738;-25278531.7748073;72.05;2.03
20080718;733607;1260.68;1258.22;1262.23;1251.81;565328;-26.8360039905353;20.8895557290225;10.4200000000001;1287.99269230769;1272.22847500052;1247.315;7.28999999999996;1241.914;-24.23;-0.0665863402879002;0.00663927404258029;-33094318.6186739;72.17;1.96
20080721;733610;1260;1261.82;1267.74;1255.7;463064;-24.5762630707325;46.2472172501611;12.04;1284.92076923077;1271.0638583338;1248.084;20.51;1248.254;-1.51999999999998;-0.229630216169142;-0.0107560650074586;-35719554.9541322;71.84;1.98
20080722;733611;1277;1257.08;1277.42;1248.83;618023;-21.1696140529868;88.7546183292659;28.5900000000001;1281.72730769231;1271.62920515915;1248.414;48.7;1260.672;14.0999999999999;1.11647794758096;0.0253014878621769;-20555311.4881077;72.43;1.97
20080723;733612;1282.19;1278.87;1291.17;1276.06;670583;-17.8453207877674;162.460488740654;15.1100000000001;1278.72923076923;1272.634995144;1252.164;67.28;1268.038;29.8800000000001;2.38599068920636;0.022461569658163;-9039818.90351371;72.81;2.04
